ticker,chunk,raw,chunk_norm,norm,percentile_rank,conviction,layer,industry,momentum,flow,real_fields,fundamentals_real_fields,fundamentals_quality,data_source,market_activity_source,market_activity_data_type,options_premium_is_real,dark_pool_data_is_real,global_ranking_status
ASMB,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ASMIY,3,6.28,10.0,10.0,95.9,B,2,Semiconductor Equipment & Materials,-16.9,dark_pool_buying,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
ASML,1,5.62,7.97,7.96,90.9,A,2,Semiconductor Equipment & Materials,-9.7,neutral,7,7,high,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ASPC,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ASPI,3,6.47,10.0,10.0,95.9,B,9,Chemicals,-64.3,low_volume,8,8,high,simulated,simulated,neutral_default,False,False,recomputed
ASPSW,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ASR,2,5.19,5.25,5.31,75.4,B,9,Airports & Air Services,-23.8,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
ASST,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ASTC,1,5.59,7.78,7.78,90.1,A,9,Scientific & Technical Instruments,-81.4,low_volume,8,8,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ASTE,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ASTH,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ASTI,3,6.77,10.0,10.0,95.9,B,1,Solar,-55.9,low_volume,8,8,high,simulated,simulated,neutral_default,False,False,recomputed
ASTS,1,5.82,9.2,9.2,94.1,A,3,Communication Equipment,-44.9,low_volume,8,8,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ASX,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ASYS,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ATAT,2,5.0,4.11,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
