ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
AXSM,1,5.0,4.09,C,9,,,neutral,0,polygon
AXT,3,5.0,4.12,C,9,,,neutral,0,simulated
AXTA,3,4.82,3.06,B,9,Specialty Chemicals,-4.9,neutral,6,simulated
AXTI,3,5.41,6.54,C,2,,,neutral,0,simulated
AYI,3,5.0,4.12,C,9,,,neutral,0,simulated
AZ,3,5.0,4.12,C,9,,,neutral,0,simulated
AZI,2,5.0,4.08,C,9,,,neutral,0,simulated
AZO,1,5.09,4.64,A,9,Auto Parts,-28.0,low_volume,8,polygon
AZTA,3,5.0,4.12,C,9,,,neutral,0,simulated
AZZ,1,5.0,4.09,C,9,,,neutral,0,finnhub
BA,1,5.0,4.09,C,9,,,neutral,0,finnhub
BABA,1,5.0,4.09,C,9,,,neutral,0,polygon
BAC,1,5.0,4.09,C,9,,,neutral,0,polygon
BAER,3,5.0,4.12,C,9,,,neutral,0,finnhub
BAERW,1,6.41,10.0,A,9,,-51.9,dark_pool_buying,6,polygon
BAH,3,5.0,4.12,C,9,,,neutral,0,simulated
BAK,3,5.0,4.12,C,9,,,neutral,0,finnhub
BALL,1,5.0,4.09,A,9,Packaging & Containers,-14.0,neutral,7,polygon
BAM,1,5.0,4.09,C,9,,,neutral,0,polygon
BANC,1,5.0,4.09,C,9,,,neutral,0,finnhub
BAND,3,5.0,4.12,C,9,,,neutral,0,simulated
BANR,3,5.0,4.12,C,9,,,neutral,0,finnhub
BANX,1,5.0,4.09,C,9,,,neutral,0,polygon
BAP,1,5.0,4.09,A,9,Banks - Regional,-1.0,neutral,6,polygon
BATL,1,5.0,4.09,C,9,,,neutral,0,finnhub
BATRA,1,5.0,4.09,C,9,,,neutral,0,polygon
BAX,1,5.09,4.64,A,9,Medical Instruments & Supplies,-33.0,neutral,6,polygon
BAYAR,3,5.0,4.12,C,9,,,neutral,0,polygon
BB,3,5.48,6.95,A,4,Software - Infrastructure,-12.8,neutral,7,polygon
BBAI,1,5.41,6.59,C,5,,,neutral,0,finnhub
BBAR,1,5.0,4.09,C,9,,,neutral,0,finnhub
BBCP,3,5.0,4.12,C,9,,,neutral,0,finnhub
BBLGW,1,5.0,4.09,C,9,,,neutral,0,polygon
BBNX,3,5.0,4.12,C,9,,,neutral,0,simulated
BBT,3,5.38,6.36,A,9,Banks - Regional,-7.5,neutral,6,polygon
BBW,3,6.63,10.0,A,9,Specialty Retail,-56.3,neutral,6,polygon
BBY,1,5.0,4.09,C,9,,,neutral,0,polygon
BCAB,1,5.61,7.8,A,9,Biotechnology,-94.4,neutral,5,polygon
BCAL,1,4.93,3.66,A,9,Banks - Regional,-1.8,neutral,6,finnhub
BCDA,1,5.0,4.09,C,9,,,neutral,0,polygon
BCGWW,1,6.13,10.0,A,9,,-1.6,dark_pool_buying,6,polygon
BCH,1,5.0,4.09,C,9,,,neutral,0,polygon
BCHT,1,5.4,6.53,A,9,Pollution & Treatment Controls,-54.7,low_volume,8,polygon
BCIC,3,5.0,4.12,C,9,,,neutral,0,finnhub
BCML,1,5.0,4.09,C,9,,,neutral,0,polygon
BCSF,1,5.0,4.09,C,9,,,neutral,0,polygon
BCTXL,3,5.0,4.12,C,9,,,neutral,0,simulated
BCV,1,4.93,3.66,A,9,Asset Management,-2.9,neutral,6,finnhub
BCX,1,5.0,4.09,C,9,,,neutral,0,finnhub
BDC,2,5.0,4.08,C,9,,,neutral,0,simulated
BDCI,3,4.97,3.94,B,9,Shell Companies,-1.5,low_volume,6,simulated
BDL,3,5.0,4.12,C,9,,,neutral,0,finnhub
BDSX,3,5.0,4.12,C,9,,,neutral,0,finnhub
BDX,1,5.32,6.04,A,9,Medical Instruments & Supplies,-20.4,low_volume,8,polygon
BE,1,5.35,6.22,C,1,,,neutral,0,finnhub
BEAM,1,5.0,4.09,C,9,,,neutral,0,finnhub
BEBE,3,5.0,4.12,C,9,,,neutral,0,simulated
BEEM,1,6.03,10.0,A,1,Solar,-68.0,elevated_volume,8,polygon
BEEP,3,5.0,4.12,C,9,,,neutral,0,simulated
BELFA,3,5.8,8.84,B,2,Electronic Components,-2.5,elevated_volume,8,simulated
BEN,1,5.23,5.49,A,9,Asset Management,0.0,neutral,7,polygon
BEP,1,5.0,4.09,C,9,,,neutral,0,polygon
BEPI,1,5.0,4.09,C,9,,,neutral,0,polygon
BEPJ,2,5.22,5.45,B,9,,0.0,low_volume,5,simulated
BESIY,3,5.0,4.12,C,9,,,neutral,0,simulated
BETR,1,5.0,4.09,C,9,,,neutral,0,polygon
BFRG,3,5.0,4.12,C,9,,,neutral,0,simulated
BFRGW,1,5.0,4.09,C,9,,,neutral,0,polygon
BFRI,1,5.0,4.09,C,9,,,neutral,0,polygon
BFRIW,3,5.0,4.12,C,9,,,neutral,0,polygon
BFST,1,5.0,4.09,C,9,,,neutral,0,polygon
BGB,3,5.31,5.95,B,9,Asset Management,-4.8,neutral,5,simulated
BGC,3,5.0,4.12,C,9,,,neutral,0,polygon
BGL,3,5.94,9.66,A,9,Gold,-99.7,neutral,5,polygon
BGLC,1,5.0,4.09,C,9,,,neutral,0,polygon
BGM,3,5.0,4.12,C,9,,,neutral,0,polygon
BGS,3,5.0,4.12,C,9,,,neutral,0,polygon
BGSI,3,5.0,4.12,C,9,,,neutral,0,polygon
BGT,2,5.0,4.08,C,9,,,neutral,0,simulated
BH,3,5.0,4.12,C,9,,,neutral,0,simulated
